Healthy life expectancy at birth,Log GDP per capita,Selected,Country name,Cluster,Silhouette
continuous,continuous,No Yes,string,C1 C2 C3 C4 C5,continuous
,,class,meta,meta,meta
0.44987288274684883,0.20074712983785067,No,Afghanistan,C1,0.6774429348167537
0.7983659401260507,0.5544295182861878,No,Albania,C4,0.6011381080475344
0.7408034893644959,0.5343479997632856,No,Algeria,C4,0.671766671976053
0.8054917279411765,0.6726254586341579,No,Argentina,C2,0.6493071011092246
0.7600434118960085,0.5418710794176826,No,Armenia,C4,0.6607755658401884
0.912152048319328,0.824692271274707,No,Australia,C3,0.6972926602957686
0.8977809873949582,0.8482512723399218,No,Austria,C3,0.6936981907911206
0.7259742647058826,0.5804769795242041,No,Azerbaijan,C4,0.636957845812893
0.8010963760504203,0.8138078470824951,No,Bahrain,C2,0.5532633508058697
0.6915047268907564,0.320592673689194,No,Bangladesh,C5,0.5646509474399687
0.7315266379989499,0.6320208012782578,No,Belarus,C4,0.5148638014302789
0.8781781775210086,0.8313750147946504,No,Belgium,C3,0.6798370661559969
0.4739115021008405,0.26935534777291203,No,Benin,C1,0.63183689083108
0.6820863970588236,0.46194668008048284,No,Bolivia,C4,0.5925576226594312
0.7839233193277312,0.5651282696177063,No,Bosnia and Herzegovina,C4,0.6101281348373517
0.5512279247636556,0.6136354894070304,No,Botswana,C5,0.5265590359457502
0.7496645220588236,0.586526512013256,No,Brazil,C4,0.6172700468335107
0.7625229779411766,0.6523410068252653,No,Bulgaria,C2,0.589327810166468
0.4531986114758404,0.18530965202982605,No,Burkina Faso,C1,0.6792288236678868
0.6332228203781514,0.3073928867321577,No,Cambodia,C5,0.6434877682150719
0.42572216386554623,0.2946961178837732,No,Cameroon,C1,0.638047340219267
0.9129431460084035,0.8225085808971478,No,Canada,C3,0.6971478253942383
0.3322254136029413,0.1478052136347497,No,Chad,C1,0.6566395115575907
0.8334755777310925,0.6772177180731448,No,Chile,C2,0.6242155689634187
0.8146316964285715,0.562572493786247,No,China,C4,0.5594239327026779
0.7777074579831934,0.5726269380991834,No,Colombia,C4,0.6073522307277425
0.5430426350227593,0.2968551505109087,No,Congo (Brazzaville),C5,0.5414914821993978
0.4404378939075632,0.048638152444076245,No,Congo (Kinshasa),C1,0.6660647948380192
0.8605321034663868,0.6308623801633331,No,Costa Rica,C2,0.5768873500559055
0.8291005777310926,0.7000798911113741,No,Croatia,C2,0.6242471459744345
0.9154195115546218,0.7732717193052738,No,Cyprus,C3,0.6791487995486718
0.8328079044117648,0.7703973843058352,No,Czech Republic,C2,0.5115243873695715
0.882510504201681,0.8491626227955974,No,Denmark,C3,0.6840494262057388
0.7347741596638656,0.6017857142857144,No,Dominican Republic,C4,0.5975919130952925
0.7967929359243698,0.5327864244289267,No,Ecuador,C4,0.6243683954968746
0.6454057247899161,0.5278701621493668,No,Egypt,C4,0.5717149091848673
0.7418152573529413,0.4690525505977039,No,El Salvador,C4,0.6726722394006371
0.7979254201680673,0.7466149840217777,No,Estonia,C2,0.6465223428016769
0.5626805409663866,0.17183098591549295,No,Ethiopia,C1,0.5589299945740638
0.8754103203781514,0.8203633566102498,No,Finland,C3,0.6734970362087277
0.9164259453781515,0.8069312936442185,No,France,C3,0.6945707839474586
0.5835423778886555,0.591380636761747,No,Gabon,C5,0.5012482934140664
0.7221474527310926,0.5593901645165109,No,Georgia,C4,0.6578774160937121
0.8814403886554625,0.8382722807432834,No,Germany,C3,0.6840179462975928
0.5361534926470589,0.36120546810273413,No,Ghana,C5,0.5971113862421424
0.8884749212184875,0.7280550952775477,No,Greece,C3,0.6037519076307174
0.7076324514180672,0.4680798023434727,No,Guatemala,C4,0.6445528812995388
0.45890854779411777,0.21169739022369516,No,Guinea,C1,0.6722819060282667
0.42052914915966394,0.15796396023198017,No,Haiti,C1,0.6807897863367003
0.7675535057773111,0.3854945851580069,No,Honduras,C4,0.6157739373973872
0.99375,0.8580930771796556,No,Hong Kong S.A.R. of China,C3,0.6598483593130241
0.7743894432773111,0.7206370576399574,No,Hungary,C2,0.6719567912443736
0.9061121323529414,0.842829772754172,No,Iceland,C3,0.6961409714128615
0.6032412027310926,0.39097082494969826,No,India,C5,0.6426891218640575
0.6541813287815128,0.5167194342525743,No,Indonesia,C4,0.5847591218001488
0.7383841036414567,0.5712514301495247,No,Iran,C4,0.646453070380253
0.6125407037815127,0.5135104746123802,No,Iraq,C5,0.5146353058690557
0.8870798319327733,0.9030092318617589,No,Ireland,C3,0.6688553779044845
0.9081453518907564,0.7771008403361346,No,Israel,C3,0.6805929274814051
0.9157989758403363,0.7951029707657711,No,Italy,C3,0.6912301155921577
0.3622807247899161,0.3520808675582909,No,Ivory Coast,C1,0.612235970654412
0.946185661764706,0.7867232808616406,No,Japan,C3,0.6766898345076106
0.7576385241596639,0.510860752751805,No,Jordan,C4,0.6708760115094501
0.6932773109243698,0.6870443247721625,No,Kazakhstan,C2,0.54652481976726
0.5891977415966387,0.32049207006746366,No,Kenya,C5,0.641377977603246
0.7034151785714288,0.5060505892497844,No,Kosovo,C4,0.6654218110580109
0.755137211134454,0.8495788456227561,No,Kuwait,C2,0.5871803147521335
0.6920653886554623,0.3619481595455084,No,Kyrgyzstan,C5,0.5224014495607752
0.5712745098039216,0.42632017595770716,No,Laos,C5,0.63942013944839
0.7558347557773111,0.7113327020949225,No,Latvia,C2,0.6570151848078187
0.7609050846901263,0.6063713161320866,No,Lebanon,C4,0.5529866219810844
0.4969263721113446,0.12618357202035746,No,Liberia,C1,0.660394283424373
0.761701680672269,0.7431811456977158,No,Lithuania,C2,0.6677665193912927
0.894843093487395,0.994603651319683,No,Luxembourg,C3,0.634966524067028
0.5758968235731794,0.1401295025052275,No,Madagascar,C1,0.5548208861790535
0.5167292542016808,0.05001405491774176,No,Malawi,C1,0.6367275524635675
0.7647874540441179,0.6955911942241686,No,Malaysia,C2,0.6557362745254462
0.4089041983981094,0.203963486803172,No,Mali,C1,0.6747646707763331
0.8874080882352944,0.7784441945792401,No,Malta,C3,0.6649574204887659
0.5347317325367648,0.371844301100722,No,Mauritania,C5,0.6010610688687573
0.7501339285714287,0.652892847279757,No,Mauritius,C2,0.5700268119496886
0.7922485556722689,0.638297431648716,No,Mexico,C2,0.5929091546111646
0.7057320115546218,0.5290123091490119,No,Moldova,C4,0.6678599827592235
0.6565060399159667,0.5237912770742099,No,Mongolia,C4,0.5958040468642658
0.7987270220588236,0.6383388566694284,No,Montenegro,C2,0.5978647631995697
0.7360372899159664,0.4393411942241687,No,Morocco,C4,0.6470217699046272
0.44224073223039223,0.0852253225233756,No,Mozambique,C1,0.6745532568662409
0.5827028623949582,0.34588116936915614,No,Myanmar,C5,0.6489948800167152
0.6608087414653362,0.264251686590129,No,Nepal,C5,0.6206308815547343
0.8870962447478994,0.8502145224286899,No,Netherlands,C3,0.6877352087967735
0.904871323529412,0.7906172328086165,No,New Zealand,C3,0.6876978654650718
0.771228253019958,0.38572834063202743,No,Nicaragua,C4,0.6176449454472672
0.4448578650210085,0.07314031246301339,No,Niger,C1,0.6719450869381466
0.36661830357142866,0.37430465143804,No,Nigeria,C1,0.5997368692789858
0.9285267857142856,0.7843058350100607,No,North Cyprus,C3,0.68388308580129
0.7334806657037817,0.5918895727305007,No,North Macedonia,C4,0.6182672726938647
0.9051995798319329,0.8778050656882471,No,Norway,C3,0.6864163870232298
0.567491383272059,0.3442707716889573,No,Pakistan,C5,0.6339026610734081
0.6650041032037817,0.3560993221774084,No,Palestinian Territories,C5,0.588219350326239
0.8247886029411766,0.7179858563143569,No,Panama,C2,0.6219499710739478
0.7369025735294119,0.5434541069949107,No,Paraguay,C4,0.6685460392047753
0.7858743106617648,0.5455948928867322,No,Peru,C4,0.6304263264611376
0.6530166754201682,0.4536024973369631,No,Philippines,C5,0.48491408225478105
0.8123411239495798,0.7226883358977394,No,Poland,C2,0.6443170740664207
0.8849789915966387,0.7455039057876671,No,Portugal,C3,0.6234029817745232
0.7648917574842439,0.698141052195526,No,Romania,C2,0.6576857970239889
0.6932687762605042,0.7009350218960824,No,Russia,C2,0.5645895469702107
0.6061991202731094,0.17625902473665525,No,Rwanda,C5,0.5141784651222842
0.7467712710084035,0.8201000118357202,No,Saudi Arabia,C2,0.6184106803742442
0.5853215270483194,0.2729465025446799,No,Senegal,C5,0.5969438176821129
0.7877823004201682,0.6081681264054919,No,Serbia,C2,0.4939336590110596
0.3566666393119749,0.14762102023908155,No,Sierra Leone,C1,0.6649680715272825
0.9789334132090337,0.9523996922712747,No,Singapore,C3,0.6514263108742454
0.8037545955882355,0.7277429281571784,No,Slovakia,C2,0.6537893937710736
0.8534827993697481,0.7637466958614432,No,Slovenia,C3,0.5579991915448269
0.5061817226890757,0.5534427151142148,No,South Africa,C5,0.5837698041888527
0.9078584558823531,0.7849124156704935,No,South Korea,C3,0.685703586898491
0.9291590073529412,0.7786291277074211,No,Spain,C3,0.6807633954937015
0.7709306886817229,0.5416780092318618,No,Sri Lanka,C4,0.6513911830359834
0.8949317226890758,0.838139128890993,No,Sweden,C3,0.6938856035264209
0.9219844187675074,0.8898809523809523,No,Switzerland,C3,0.6823380266039216
0.8258887539390757,0.8253752461291813,No,Taiwan Province of China,C3,0.5402984023154582
0.6974126838235296,0.25989022369511183,No,Tajikistan,C5,0.5788394405656839
0.5305252100840337,0.22233844241922127,No,Tanzania,C1,0.5834926783447651
0.7681059611344537,0.6120443247721624,No,Thailand,C4,0.5185314525345247
0.47625432204131657,0.12167638182033377,No,Togo,C1,0.6718539309027337
0.7609663865546219,0.5177136347496746,No,Tunisia,C4,0.6682852015888057
0.7541268382352943,0.698930346786602,No,Turkey,C2,0.6478535044361704
0.650211971507353,0.561414812403835,No,Turkmenistan,C4,0.6003657131246054
0.490466780462185,0.19118978577346432,No,Uganda,C1,0.6586065606094683
0.7052967436974792,0.5499659723044148,No,Ukraine,C4,0.6585943166493926
0.7714397321428573,0.8828170000394525,No,United Arab Emirates,C2,0.53279082581924
0.8855173319327732,0.8090291750503019,No,United Kingdom,C3,0.6820209087508957
0.8058035714285715,0.8661572375429045,No,United States,C3,0.5156811613091627
0.81312368697479,0.6513078470824951,No,Uruguay,C2,0.6236599779386807
0.7177968257615548,0.4089441058113388,No,Uzbekistan,C4,0.5922803227087393
0.7576811974789917,0.5450282577819862,No,Venezuela,C4,0.6604369770791874
0.7850001641281512,0.4291772694993491,No,Vietnam,C4,0.6480377686097432
0.5220287880777312,0.25678704580423733,No,Yemen,C1,0.5630794215070095
0.47931066176470594,0.2901445437329862,No,Zambia,C1,0.605355583291781
0.46840795693277315,0.25042460646230325,No,Zimbabwe,C1,0.6499028171753052
